Scenario,ground_r_value,infiltration,heating_set_point,cooling_set_point,heating_cop,cooling_cop,equipment_density,lighting_density,occupant_density,scheduled_ventilation_ach,dhw_flow_rate,Total Operational Energy,Natural Gas,Electricity
S71,3.288,0.1,20,23.1,0.95,4.5,5,5,0.103,1,1.58E-05,18081570.16,3736515.278,14345054.88
S72,3.288,0.1,20,23.1,0.95,4.5,5,5,0.103,1,0.000709,32762877.35,18389393.23,14373484.12
S73,3.288,0.1,20,23.1,0.95,4.5,5,15,0.013,0.1,1.58E-05,27031856.46,930094.9714,26101761.49
S74,3.288,0.1,20,23.1,0.95,4.5,5,15,0.013,0.1,0.000709,41703870.36,15597041.55,26106828.81
S75,3.288,0.1,20,23.1,0.95,4.5,5,15,0.013,1,1.58E-05,27137779.04,1054448.267,26083330.77
S76,3.288,0.1,20,23.1,0.95,4.5,5,15,0.013,1,0.000709,39975938.81,13901229.67,26074709.14
S77,3.288,0.1,20,23.1,0.95,4.5,5,15,0.103,0.1,1.58E-05,28138358.68,1533616.238,26604742.44
S78,3.288,0.1,20,23.1,0.95,4.5,5,15,0.103,0.1,0.000709,39163767.2,12551981.16,26611786.04
S79,3.288,0.1,20,23.1,0.95,4.5,5,15,0.103,1,1.58E-05,28318180.42,1730045.335,26588135.08
S80,3.288,0.1,20,23.1,0.95,4.5,5,15,0.103,1,0.000709,42980446.58,16395700.96,26584745.62
S81,3.288,0.1,20,23.1,0.95,4.5,15,5,0.013,0.1,1.58E-05,27008086.92,882072.1714,26126014.75
S82,3.288,0.1,20,23.1,0.95,4.5,15,5,0.013,0.1,0.000709,41700721.65,15574240.86,26126480.79
S83,3.288,0.1,20,23.1,0.95,4.5,15,5,0.013,1,1.58E-05,27129603.53,1016170.404,26113433.13
S84,3.288,0.1,20,23.1,0.95,4.5,15,5,0.013,1,0.000709,41796268.46,15678330.3,26117938.16
S85,3.288,0.1,20,23.1,0.95,4.5,15,5,0.103,0.1,1.58E-05,28133969.6,1511647.702,26622321.89
S86,3.288,0.1,20,23.1,0.95,4.5,15,5,0.103,0.1,0.000709,42799044.41,16172165.85,26626878.55
S87,3.288,0.1,20,23.1,0.95,4.5,15,5,0.103,1,1.58E-05,30105873.87,3483654.613,26622219.26
S88,3.288,0.1,20,23.1,0.95,4.5,15,5,0.103,1,0.000709,41140242.25,14513937.28,26626304.97
S89,3.288,0.1,20,23.1,0.95,4.5,15,15,0.013,0.1,1.58E-05,39335655.72,2436903.153,36898752.57
S90,3.288,0.1,20,23.1,0.95,4.5,15,15,0.013,0.1,0.000709,49809762.1,11458089.38,38351672.72
S91,3.288,0.1,20,23.1,0.95,4.5,15,15,0.013,1,1.58E-05,38812404.71,479949.9527,38332454.76
S92,3.288,0.1,20,23.1,0.95,4.5,15,15,0.013,1,0.000709,51654695.52,13319412.85,38335282.67
S93,3.288,0.1,20,23.1,0.95,4.5,15,15,0.103,0.1,1.58E-05,39552970.89,673903.2252,38879067.66
S94,3.288,0.1,20,23.1,0.95,4.5,15,15,0.103,0.1,0.000709,54226750.17,15354862.79,38871887.38
S95,3.288,0.1,20,23.1,0.95,4.5,15,15,0.103,1,1.58E-05,41436217.14,2587584.235,38848632.9
S96,3.288,0.1,20,23.1,0.95,4.5,15,15,0.103,1,0.000709,54281354.49,15440661.6,38840692.89
S97,3.288,0.1,20,23.1,0.95,5.5,5,5,0.013,0.1,1.58E-05,20906895.65,4323573.394,16583322.25
S98,3.288,0.1,20,23.1,0.95,5.5,5,5,0.013,0.1,0.000709,28963466.71,15559070.69,13404396.02
S99,3.288,0.1,20,23.1,0.95,5.5,5,5,0.013,1,1.58E-05,16383853.63,2969606.786,13414246.84
S100,3.288,0.1,20,23.1,0.95,5.5,5,5,0.013,1,0.000709,31071494.96,17668579.18,13402915.78
S101,3.288,0.1,20,23.1,0.95,5.5,5,5,0.103,0.1,1.58E-05,17270463.06,3433147.918,13837315.15
S102,3.288,0.1,20,23.1,0.95,5.5,5,5,0.103,0.1,0.000709,30118922.28,16283724.51,13835197.77
S103,3.288,0.1,20,23.1,0.95,5.5,5,5,0.103,1,1.58E-05,19330319.52,5505421.154,13824898.37
S104,3.288,0.1,20,23.1,0.95,5.5,5,5,0.103,1,0.000709,28546810.6,14720373.87,13826436.73
S105,3.288,0.1,20,23.1,0.95,5.5,5,15,0.013,0.1,1.58E-05,26403752.32,934726.3564,25469025.97
S106,3.288,0.1,20,23.1,0.95,5.5,5,15,0.013,0.1,0.000709,41084396.07,15610575.13,25473820.94
S107,3.288,0.1,20,23.1,0.95,5.5,5,15,0.013,1,1.58E-05,26525049.39,1060913.532,25464135.85
S108,3.288,0.1,20,23.1,0.95,5.5,5,15,0.013,1,0.000709,39354613.62,13893218.02,25461395.59
S109,3.288,0.1,20,23.1,0.95,5.5,5,15,0.103,0.1,1.58E-05,29170793.21,3328219.714,25842573.49
S110,3.288,0.1,20,23.1,0.95,5.5,5,15,0.103,0.1,0.000709,42127065.39,16240011.58,25887053.8
S111,3.288,0.1,20,23.1,0.95,5.5,5,15,0.103,1,1.58E-05,27589231.15,1712317.051,25876914.1
S112,3.288,0.1,20,23.1,0.95,5.5,5,15,0.103,1,0.000709,40440974.82,14559328.31,25881646.51
S113,3.288,0.1,20,23.1,0.95,5.5,15,5,0.013,0.1,1.58E-05,28385067.98,2839543.226,25545524.76
S114,3.288,0.1,20,23.1,0.95,5.5,15,5,0.013,0.1,0.000709,41066968.79,15572415.14,25494553.66
S115,3.288,0.1,20,23.1,0.95,5.5,15,5,0.013,1,1.58E-05,30143780.12,4660791.36,25482988.76
S116,3.288,0.1,20,23.1,0.95,5.5,15,5,0.013,1,0.000709,41178246.88,15695592.65,25482654.23
S117,3.288,0.1,20,23.1,0.95,5.5,15,5,0.103,0.1,1.58E-05,29128419.26,3283000.416,25845418.85
S118,3.288,0.1,20,23.1,0.95,5.5,15,5,0.103,0.1,0.000709,42099040.62,16173169.59,25925871.03
S119,3.288,0.1,20,23.1,0.95,5.5,15,5,0.103,1,1.58E-05,27560306.52,1665196.912,25895109.61
S120,3.288,0.1,20,23.1,0.95,5.5,15,5,0.103,1,0.000709,40434582.94,14520125.03,25914457.91
S121,3.288,0.1,20,23.1,0.95,5.5,15,15,0.013,0.1,1.58E-05,38005416.75,447093.4527,37558323.29
S122,3.288,0.1,20,23.1,0.95,5.5,15,15,0.013,0.1,0.000709,52689481.26,15123189.91,37566291.35
S123,3.288,0.1,20,23.1,0.95,5.5,15,15,0.013,1,1.58E-05,39872623.48,2310673.753,37561949.72
S124,3.288,0.1,20,23.1,0.95,5.5,15,15,0.013,1,0.000709,52705007.09,15153206.22,37551800.88
S125,3.288,0.1,20,23.1,0.95,5.5,15,15,0.103,0.1,1.58E-05,40409789.15,2493029.51,37916759.64
S126,3.288,0.1,20,23.1,0.95,5.5,15,15,0.103,0.1,0.000709,53319950.59,15360903.55,37959047.04
S127,3.288,0.1,20,23.1,0.95,5.5,15,15,0.103,1,1.58E-05,38719425.5,753974.489,37965451.01
S128,3.288,0.1,20,23.1,0.95,5.5,15,15,0.103,1,0.000709,53398978.71,15433240.46,37965738.25
S129,3.288,0.1,20,26,0.8,4.5,5,5,0.013,0.1,1.58E-05,16078595.43,3151669.759,12926925.67
S130,3.288,0.1,20,26,0.8,4.5,5,5,0.013,0.1,0.000709,27112956.22,14178055.25,12934900.97
S131,3.288,0.1,20,26,0.8,4.5,5,5,0.013,1,1.58E-05,18147330.93,5228857.146,12918473.78
S132,3.288,0.1,20,26,0.8,4.5,5,5,0.013,1,0.000709,31038220.31,18116332.06,12921888.24
S133,3.288,0.1,20,26,0.8,4.5,5,5,0.103,0.1,1.58E-05,18985340.68,5787588.305,13197752.38
S134,3.288,0.1,20,26,0.8,4.5,5,5,0.103,0.1,0.000709,30117882.83,16896412.52,13221470.31
S135,3.288,0.1,20,26,0.8,4.5,5,5,0.103,1,1.58E-05,17553402.74,4353489.645,13199913.09
S136,3.288,0.1,20,26,0.8,4.5,5,5,0.103,1,0.000709,32221326.5,19019621.52,13201704.98
S137,3.288,0.1,20,26,0.8,4.5,5,15,0.013,0.1,1.58E-05,26116115.52,1042537.455,25073578.06
S138,3.288,0.1,20,26,0.8,4.5,5,15,0.013,0.1,0.000709,40792953.31,15717904.92,25075048.38
S139,3.288,0.1,20,26,0.8,4.5,5,15,0.013,1,1.58E-05,26241264.15,1191174.178,25050089.97
S140,3.288,0.1,20,26,0.8,4.5,5,15,0.013,1,0.000709,40920288.62,15875128.12,25045160.49
S141,3.288,0.1,20,26,0.8,4.5,5,15,0.103,0.1,1.58E-05,27148603.38,1776148.403,25372454.97
S142,3.288,0.1,20,26,0.8,4.5,5,15,0.103,0.1,0.000709,41828638.92,16450482.71,25378156.2
S143,3.288,0.1,20,26,0.8,4.5,5,15,0.103,1,1.58E-05,29129700.72,3798304.036,25331396.69
S144,3.288,0.1,20,26,0.8,4.5,5,15,0.103,1,0.000709,41998447.16,16664764,25333683.16
S145,3.288,0.1,20,26,0.8,4.5,15,5,0.013,0.1,1.58E-05,28083635.78,2949065.42,25134570.36
S146,3.288,0.1,20,26,0.8,4.5,15,5,0.013,0.1,0.000709,40784908.1,15677561.7,25107346.41
S147,3.288,0.1,20,26,0.8,4.5,15,5,0.013,1,1.58E-05,26227840.29,1150191.457,25077648.83
S148,3.288,0.1,20,26,0.8,4.5,15,5,0.013,1,0.000709,40890687.8,15821954.13,25068733.66
S149,3.288,0.1,20,26,0.8,4.5,15,5,0.103,0.1,1.58E-05,27133426.99,1735194.082,25398232.91
S150,3.288,0.1,20,26,0.8,4.5,15,5,0.103,0.1,0.000709,41776397.75,16386390.73,25390007.03
S151,3.288,0.1,20,26,0.8,4.5,15,5,0.103,1,1.58E-05,27296530.09,1924662.737,25371867.35
S152,3.288,0.1,20,26,0.8,4.5,15,5,0.103,1,0.000709,40116945.31,14761734.68,25355210.63
S153,3.288,0.1,20,26,0.8,4.5,15,15,0.013,0.1,1.58E-05,37745279.66,472609.263,37272670.39
S154,3.288,0.1,20,26,0.8,4.5,15,15,0.013,0.1,0.000709,52420674.77,15147883.47,37272791.3
S155,3.288,0.1,20,26,0.8,4.5,15,15,0.013,1,1.58E-05,39577476.89,2336368.759,37241108.13
S156,3.288,0.1,20,26,0.8,4.5,15,15,0.013,1,0.000709,52421123.15,15183178.49,37237944.66
S157,3.288,0.1,20,26,0.8,4.5,15,15,0.103,0.1,1.58E-05,40068502.49,2550537.64,37517964.85
S158,3.288,0.1,20,26,0.8,4.5,15,15,0.103,0.1,0.000709,52978256.58,15419036.05,37559220.53
S159,3.288,0.1,20,26,0.8,4.5,15,15,0.103,1,1.58E-05,38393958.75,850634.92,37543323.83
S160,3.288,0.1,20,26,0.8,4.5,15,15,0.103,1,0.000709,51211777.06,13680001.8,37531775.27
S161,3.288,0.1,20,26,0.8,5.5,5,5,0.013,0.1,1.58E-05,15810445.88,3180535.335,12629910.55
S162,3.288,0.1,20,26,0.8,5.5,5,5,0.013,0.1,0.000709,30503881.07,17871886.87,12631994.2
S163,3.288,0.1,20,26,0.8,5.5,5,5,0.013,1,1.58E-05,16084973.58,3467068.419,12617905.16
S164,3.288,0.1,20,26,0.8,5.5,5,5,0.013,1,0.000709,30783601.93,18168601.47,12615000.46
S165,3.288,0.1,20,26,0.8,5.5,5,5,0.103,0.1,1.58E-05,16908532.43,4030206.043,12878326.39
S166,3.288,0.1,20,26,0.8,5.5,5,5,0.103,0.1,0.000709,31612477.9,18735069.76,12877408.14
S167,3.288,0.1,20,26,0.8,5.5,5,5,0.103,1,1.58E-05,17226821.92,4371933.207,12854888.72
S168,3.288,0.1,20,26,0.8,5.5,5,5,0.103,1,0.000709,31918523.43,19051411.05,12867112.38
S169,3.288,0.1,20,26,0.8,5.5,5,15,0.013,0.1,1.58E-05,25676222.6,1033101.705,24643120.89
S170,3.288,0.1,20,26,0.8,5.5,5,15,0.013,0.1,0.000709,38503960.32,13861589.09,24642371.23
S171,3.288,0.1,20,26,0.8,5.5,5,15,0.013,1,1.58E-05,25816281.05,1206046.831,24610234.21
S172,3.288,0.1,20,26,0.8,5.5,5,15,0.013,1,0.000709,40468615.47,15855375.72,24613239.75
S173,3.288,0.1,20,26,0.8,5.5,5,15,0.103,0.1,1.58E-05,26666285.38,1794537.333,24871748.05
S174,3.288,0.1,20,26,0.8,5.5,5,15,0.103,0.1,0.000709,39471446.23,14598579.1,24872867.12
S175,3.288,0.1,20,26,0.8,5.5,5,15,0.103,1,1.58E-05,26842597.62,1992283.012,24850314.61
S176,3.288,0.1,20,26,0.8,5.5,5,15,0.103,1,0.000709,41519788.64,16665140.13,24854648.51
S177,3.288,0.1,20,26,0.8,5.5,15,5,0.013,0.1,1.58E-05,25644544.12,980642.9991,24663901.12
S178,3.288,0.1,20,26,0.8,5.5,15,5,0.013,0.1,0.000709,38501867.02,13847486.47,24654380.55
S179,3.288,0.1,20,26,0.8,5.5,15,5,0.013,1,1.58E-05,25768248.91,1137509.414,24630739.5
S180,3.288,0.1,20,26,0.8,5.5,15,5,0.013,1,0.000709,38621859.25,13988026.45,24633832.81
S181,3.288,0.1,20,26,0.8,5.5,15,5,0.103,0.1,1.58E-05,28346973.05,3472727.242,24874245.81
S182,3.288,0.1,20,26,0.8,5.5,15,5,0.103,0.1,0.000709,41286354.79,16385365.88,24900988.91
S183,3.288,0.1,20,26,0.8,5.5,15,5,0.103,1,1.58E-05,26788855.64,1908905.891,24879949.75
S184,3.288,0.1,20,26,0.8,5.5,15,5,0.103,1,0.000709,41464974.17,16586219.81,24878754.36
S185,3.288,0.1,20,26,0.8,5.5,15,15,0.013,0.1,1.58E-05,37674573.57,2479528.291,35195045.28
S186,3.288,0.1,20,26,0.8,5.5,15,15,0.013,0.1,0.000709,51825041.52,15144525.49,36680516.03
S187,3.288,0.1,20,26,0.8,5.5,15,15,0.013,1,1.58E-05,37152106.96,509682.3882,36642424.58
S188,3.288,0.1,20,26,0.8,5.5,15,15,0.013,1,0.000709,49989547.81,13347136.4,36642411.41
S189,3.288,0.1,20,26,0.8,5.5,15,15,0.103,0.1,1.58E-05,41205344.21,4358828.472,36846515.74
S190,3.288,0.1,20,26,0.8,5.5,15,15,0.103,0.1,0.000709,52338097.98,15416028.82,36922069.17
S191,3.288,0.1,20,26,0.8,5.5,15,15,0.103,1,1.58E-05,37726450.28,837638.8523,36888811.43
S192,3.288,0.1,20,26,0.8,5.5,15,15,0.103,1,0.000709,52408996.09,15520953.26,36888042.83
S193,3.288,0.1,20,26,0.95,4.5,5,5,0.013,0.1,1.58E-05,20252089.71,4334158.183,15917931.53
S194,3.288,0.1,20,26,0.95,4.5,5,5,0.013,0.1,0.000709,30304459.12,17371851.12,12932608
S195,3.288,0.1,20,26,0.95,4.5,5,5,0.013,1,1.58E-05,15911225.97,3005437.985,12905787.99
S196,3.288,0.1,20,26,0.95,4.5,5,5,0.013,1,0.000709,30571954.12,17656349.9,12915604.22
S197,3.288,0.1,20,26,0.95,4.5,5,5,0.103,0.1,1.58E-05,16693636.14,3474278.944,13219357.2
S198,3.288,0.1,20,26,0.95,4.5,5,5,0.103,0.1,0.000709,27652400.32,14422676.2,13229724.13
S199,3.288,0.1,20,26,0.95,4.5,5,5,0.103,1,1.58E-05,16948637.23,3737770.719,13210866.51
S200,3.288,0.1,20,26,0.95,4.5,5,5,0.103,1,0.000709,31595677.7,18400388.39,13195289.31
S201,3.288,0.1,20,26,0.95,4.5,5,15,0.013,0.1,1.58E-05,26004395.47,945897.9628,25058497.51
S202,3.288,0.1,20,26,0.95,4.5,5,15,0.013,0.1,0.000709,40684172.36,15608698.79,25075473.57
S203,3.288,0.1,20,26,0.95,4.5,5,15,0.013,1,1.58E-05,26093995.58,1047769.886,25046225.69
S204,3.288,0.1,20,26,0.95,4.5,5,15,0.013,1,0.000709,38950925.89,13899024.46,25051901.44
S205,3.288,0.1,20,26,0.95,4.5,5,15,0.103,0.1,1.58E-05,26906240.76,1537031.33,25369209.43
S206,3.288,0.1,20,26,0.95,4.5,5,15,0.103,0.1,0.000709,41587126.1,16223313.51,25363812.59
S207,3.288,0.1,20,26,0.95,4.5,5,15,0.103,1,1.58E-05,27066883.69,1725467.551,25341416.14
S208,3.288,0.1,20,26,0.95,4.5,5,15,0.103,1,0.000709,39907335.62,14568099.97,25339235.65
S209,3.288,0.1,20,26,0.95,4.5,15,5,0.013,0.1,1.58E-05,27964838.58,2833108.158,25131730.43
S210,3.288,0.1,20,26,0.95,4.5,15,5,0.013,0.1,0.000709,40686156.72,15576389.5,25109767.22
S211,3.288,0.1,20,26,0.95,4.5,15,5,0.013,1,1.58E-05,26102940.16,1011577.317,25091362.84
S212,3.288,0.1,20,26,0.95,4.5,15,5,0.013,1,0.000709,40780948.57,15697082.05,25083866.52
S213,3.288,0.1,20,26,0.95,4.5,15,5,0.103,0.1,1.58E-05,26908417.29,1510139.33,25398277.96
S214,3.288,0.1,20,26,0.95,4.5,15,5,0.103,0.1,0.000709,39754906.64,14345306.27,25409600.36
S215,3.288,0.1,20,26,0.95,4.5,15,5,0.103,1,1.58E-05,27052411.58,1689932.572,25362479.01
S216,3.288,0.1,20,26,0.95,4.5,15,5,0.103,1,0.000709,41705265.93,16337176.54,25368089.4
S217,3.288,0.1,20,26,0.95,4.5,15,15,0.013,0.1,1.58E-05,37739779.4,449778.0986,37290001.3
S218,3.288,0.1,20,26,0.95,4.5,15,15,0.013,0.1,0.000709,52404646.65,15126508.08,37278138.57
S219,3.288,0.1,20,26,0.95,4.5,15,15,0.013,1,1.58E-05,37737022.96,477845.504,37259177.46
S220,3.288,0.1,20,26,0.95,4.5,15,15,0.013,1,0.000709,52405482.98,15158195.47,37247287.51
S221,3.288,0.1,20,26,0.95,4.5,15,15,0.103,0.1,1.58E-05,40015976.06,2484528.49,37531447.57
S222,3.288,0.1,20,26,0.95,4.5,15,15,0.103,0.1,0.000709,51078464.58,13525408.82,37553055.76
S223,3.288,0.1,20,26,0.95,4.5,15,15,0.103,1,1.58E-05,40124617.37,2588532.259,37536085.11
S224,3.288,0.1,20,26,0.95,4.5,15,15,0.103,1,0.000709,52959100.45,15436421.9,37522678.55
S225,3.288,0.1,20,26,0.95,5.5,5,5,0.013,0.1,1.58E-05,15335299.71,2692930.776,12642368.94
S226,3.288,0.1,20,26,0.95,5.5,5,5,0.013,0.1,0.000709,28216931.88,15580266.29,12636665.58
S227,3.288,0.1,20,26,0.95,5.5,5,5,0.013,1,1.58E-05,15600754.23,2987432.2,12613322.03
S228,3.288,0.1,20,26,0.95,5.5,5,5,0.013,1,0.000709,30271530.33,17654478.39,12617051.94
S229,3.288,0.1,20,26,0.95,5.5,5,5,0.103,0.1,1.58E-05,16326300.63,3441401.124,12884899.51
S230,3.288,0.1,20,26,0.95,5.5,5,5,0.103,0.1,0.000709,31033419.64,18152124.12,12881295.52
S231,3.288,0.1,20,26,0.95,5.5,5,5,0.103,1,1.58E-05,16591558.19,3726036.403,12865521.79
S232,3.288,0.1,20,26,0.95,5.5,5,5,0.103,1,0.000709,29426331.06,16563922.32,12862408.74
S233,3.288,0.1,20,26,0.95,5.5,5,15,0.013,0.1,1.58E-05,26263538.91,3105987.53,23157551.38
